sqft,bedrooms,bathrooms,age,location_score,price
3119,1,1,47,5,369424
1414,2,1,43,2,200770
856,5,4,2,8,204670
1395,2,1,35,8,232856
2218,2,4,37,5,290512
3608,2,4,21,5,442394
1381,3,1,5,5,221769
1970,3,3,2,2,285054
2696,1,4,5,2,343706
3897,6,3,36,8,492979
687,6,2,49,5,147814
1453,1,4,17,5,230754
1166,3,3,13,2,192848
3374,6,1,38,2,407007
2687,6,2,10,5,377133
1605,6,2,43,5,241832
1438,1,3,25,5,212468
1364,5,3,13,2,230258
2120,6,4,9,5,319075
1510,6,3,47,2,230538
2890,4,3,14,8,407696
2521,1,1,7,8,341842
3744,6,4,38,8,490008
2063,5,4,33,5,309928
547,6,1,43,2,124943
3648,6,3,7,5,479546
1147,4,1,46,2,173330
2550,2,1,40,5,329635
2994,2,2,23,8,401574
3689,5,1,38,5,458910
579,1,3,19,8,144298
1486,5,1,5,2,240024
3842,1,2,8,2,456774
2751,2,3,33,2,341465
1367,5,2,45,5,223274
3251,6,3,28,2,414894
995,2,2,4,5,179189
2909,5,2,37,8,383635
790,6,1,14,8,186029
1853,1,2,17,2,253706
1377,5,2,46,2,214581
2436,2,4,26,8,335690
897,6,4,22,5,199170
2412,6,1,43,2,305924
748,4,3,6,8,187078
1279,5,4,8,5,231912
1640,4,2,4,5,271033
901,1,1,5,8,181049
2164,4,4,13,5,308821
1174,4,1,24,5,208309
1668,4,4,9,8,284022
1391,1,1,47,5,190473
705,5,4,32,2,146658
732,5,1,11,8,195198
778,6,2,25,8,199967
1508,5,1,39,8,253037
3192,5,3,16,8,435495
1477,3,4,8,2,230530
2372,3,1,0,5,338648
909,1,2,32,5,155240
1929,1,2,23,5,262569
2294,5,3,39,2,311232
532,6,3,42,8,155600
1583,1,1,47,2,197893
1615,3,2,45,5,231671
3315,6,3,32,5,427728
3965,1,1,40,5,458566
680,1,3,49,8,146083
1161,6,4,35,2,204614
2797,1,1,4,2,340584
2734,1,3,37,2,323752
2260,2,1,19,5,295807
1965,2,2,42,8,283089
3695,5,4,39,2,442064
1469,2,2,26,8,235777
3516,3,4,42,2,415731
1592,2,1,24,8,255623
1411,2,4,22,5,224557
1413,1,2,25,5,213929
784,3,3,41,2,144996
3283,5,3,1,8,450359
1231,5,3,2,8,255648
2279,3,3,27,2,305158
973,4,2,16,8,209588
506,5,2,23,5,137392
3220,3,3,42,8,414840
2577,3,4,20,5,349388
2770,2,2,26,2,342423
3274,6,2,39,2,403761
2163,5,1,19,5,306687
2260,5,3,29,5,324988
3267,2,4,50,2,379260
3198,1,3,32,2,378783
882,2,3,14,8,185028
600,1,2,30,2,108386
2365,4,2,45,2,302582
2524,4,2,9,2,324081
3575,1,4,14,8,464472
2402,1,2,7,5,317069
3782,4,3,48,5,464740
2247,5,4,10,2,322254
2343,3,2,40,5,317381
2484,6,2,17,5,343438
3422,3,2,17,5,430176
2712,1,2,9,8,370251
3342,2,2,4,5,426556
1855,5,4,26,8,296277
3911,4,4,49,2,449240
3635,5,4,30,8,477026
1723,4,4,34,2,255195
3776,5,2,31,8,482043
2285,4,1,24,5,317748
3466,2,4,8,2,432102
610,4,1,5,2,145544
1055,4,2,3,5,207422
1840,2,4,20,5,273423
1639,4,3,5,5,256035
3568,5,1,22,8,456048
3699,6,1,48,8,467002
1316,1,2,15,8,230617
3242,1,2,29,2,379096
3641,3,2,38,2,419853
3685,2,3,6,2,435341
1777,5,4,25,2,258698
811,5,2,6,2,168982
3982,6,1,50,2,457545
1922,5,4,42,5,275459
2572,6,3,0,5,377262
932,4,3,40,5,172213
2283,2,3,39,2,293643
2404,4,3,20,8,342239
1642,4,2,48,5,249872
2999,6,4,21,8,427597
3985,3,2,31,8,495626
3767,3,3,17,2,451252
2776,1,2,5,8,379417
2501,5,2,44,5,340183
2335,1,1,18,8,325751
3333,2,3,42,2,393392
2438,5,3,27,2,332335
1854,3,4,17,5,277137
1444,1,2,20,8,242959
3621,6,2,12,8,487966
1632,6,3,6,8,288907
1431,3,2,19,8,252102
1018,3,1,3,2,177872
3356,2,4,6,8,453410
1664,4,4,28,5,255441
710,3,4,7,8,187630
2514,1,1,9,8,353343
1744,1,2,7,2,245537
2983,5,2,49,2,367264
2345,4,3,37,5,320006
2829,5,1,39,2,344651
3624,2,2,16,2,423060
1143,2,2,35,8,197929
510,4,4,44,2,126398
1692,1,2,18,2,230464
3379,4,1,43,8,428068
3726,6,2,27,8,492944
1420,6,2,17,8,251839
744,2,3,38,2,143051
1682,4,1,29,2,236664
3366,4,3,32,2,415780
2293,1,1,27,2,284361
2972,3,1,5,8,411548
2904,1,3,36,8,372140
2427,5,4,17,8,370380
2285,6,4,5,5,344401
2172,3,3,42,8,305469
1850,4,4,18,2,271122
3832,5,1,29,8,487006
1533,3,1,49,5,228662
3878,1,4,26,8,477946
2623,3,4,40,5,335991
1333,3,2,18,5,226183
997,1,2,45,8,178382
2756,1,4,5,8,373817
2390,1,2,31,2,294063
2584,6,3,26,5,364873
1498,4,2,24,8,263440
2581,6,2,4,5,370696
1892,5,3,0,5,297983
3930,5,4,9,5,508148
2483,3,3,35,2,317160
2365,3,2,44,8,334236
2068,2,4,2,5,308298
3388,4,4,42,2,404784
2528,1,2,32,2,308678
911,4,1,33,5,163102
3459,2,4,41,8,429851
2423,3,3,39,2,309824
3161,1,3,43,2,371052
1797,6,4,34,8,286942
1461,6,3,14,2,231061
2277,1,1,28,8,311512
618,1,3,50,8,140413
1968,3,4,9,8,316705
2187,5,2,10,8,327287
2996,4,2,31,2,364789
